"status","duration","history","purpose","credit","bonds","jobex","rate","sex","guarantor","residence","property","age","install","house","nocredit","job","no","ph","nri","credibility","TIN_status_A11","TIN_status_A12","TIN_status_A13","TIN_status_A14","TIN_history_A30","TIN_history_A31","TIN_history_A32","TIN_history_A33","TIN_history_A34","TIN_purpose_A40","TIN_purpose_A41","TIN_purpose_A410","TIN_purpose_A42","TIN_purpose_A43","TIN_purpose_A44","TIN_purpose_A45","TIN_purpose_A46","TIN_purpose_A48","TIN_purpose_A49","TIN_bonds_A61","TIN_bonds_A62","TIN_bonds_A63","TIN_bonds_A64","TIN_bonds_A65","TIN_jobex_A71","TIN_jobex_A72","TIN_jobex_A73","TIN_jobex_A74","TIN_jobex_A75","TIN_sex_A91","TIN_sex_A92","TIN_sex_A93","TIN_sex_A94","TIN_guarantor_A101","TIN_guarantor_A102","TIN_guarantor_A103","TIN_property_A121","TIN_property_A122","TIN_property_A123","TIN_property_A124","TIN_install_A141","TIN_install_A142","TIN_install_A143","TIN_house_A151","TIN_house_A152","TIN_house_A153","TIN_job_A171","TIN_job_A172","TIN_job_A173","TIN_job_A174","TIN_ph_A191","TIN_ph_A192","TIN_nri_A201","TIN_nri_A202","R01_credit","RIN_age_4","R01_credibility","RIN_R01_credit_4"
"A14",24,"A32","A41",2670,"A61","A75",4,"A93","A101",4,"A123",35,"A143","A152",1,"A174",1,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0.133157257620777,1,0,0
"A11",6,"A31","A46",1198,"A61","A75",4,"A92","A101",4,"A124",35,"A143","A153",1,"A173",1,"A191","A201",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.0521624298448333,1,1,0
"A12",12,"A32","A40",2002,"A61","A74",3,"A93","A101",4,"A122",30,"A143","A151",1,"A173",2,"A192","A201",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0.0964014526246286,1,0,0
"A12",30,"A32","A40",2150,"A61","A73",4,"A92","A103",2,"A124",24,"A141","A152",1,"A173",1,"A191","A201",2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0.104544954330362,0,1,0
"A14",24,"A32","A41",2679,"A61","A72",4,"A92","A101",1,"A124",29,"A143","A152",1,"A174",1,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0.133652470562342,1,0,0
"A11",12,"A31","A40",697,"A61","A72",4,"A93","A101",2,"A123",46,"A141","A152",2,"A173",1,"A192","A201",2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.024595576097722,1,1,0
"A14",15,"A32","A40",3556,"A65","A73",3,"A93","A101",2,"A124",29,"A143","A152",1,"A173",1,"A191","A201",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.18190822053483,1,0,1
"A14",48,"A34","A43",3578,"A65","A75",4,"A93","A101",1,"A121",47,"A143","A152",1,"A173",1,"A192","A201",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.183118741058655,2,0,1
"A11",24,"A33","A43",1659,"A61","A72",4,"A92","A101",2,"A123",29,"A143","A151",1,"A172",1,"A192","A201",2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0.0775283371849895,1,1,0
"A14",48,"A34","A41",8858,"A65","A74",2,"A93","A101",1,"A124",35,"A143","A153",2,"A173",1,"A192","A201",1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.473643666776714,1,0,1
"A11",12,"A32","A46",795,"A61","A72",4,"A92","A101",4,"A122",53,"A143","A152",1,"A173",1,"A191","A201",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.0299878947947617,2,1,0
"A14",12,"A34","A43",1240,"A65","A75",4,"A92","A101",2,"A121",38,"A143","A152",2,"A173",1,"A192","A201",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.054473423572136,1,0,0
"A14",15,"A32","A43",3568,"A61","A75",4,"A92","A101",2,"A123",54,"A141","A151",1,"A174",1,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0.182568504456916,2,0,1
"A11",24,"A31","A42",6872,"A61","A72",2,"A91","A101",1,"A122",55,"A141","A152",1,"A173",1,"A192","A201",2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.364366677671399,2,1,1
"A14",24,"A32","A43",5943,"A65","A72",1,"A92","A101",1,"A123",44,"A143","A152",2,"A173",1,"A192","A201",2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.313249697369869,1,1,1
"A11",36,"A32","A41",5493,"A61","A75",2,"A93","A101",4,"A124",42,"A143","A153",1,"A173",2,"A191","A201",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.288489050291625,1,0,1
"A11",20,"A32","A42",2212,"A65","A74",4,"A93","A101",4,"A123",39,"A143","A152",1,"A173",1,"A192","A201",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.107956421261142,1,0,0
"A14",24,"A32","A41",9277,"A65","A73",2,"A91","A101",4,"A124",48,"A143","A153",1,"A173",1,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.496698580389567,2,0,1
"A11",9,"A32","A42",2136,"A61","A73",3,"A93","A101",2,"A121",25,"A143","A152",1,"A173",1,"A191","A201",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.103774623087928,0,0,0
"A12",6,"A32","A43",484,"A61","A74",3,"A94","A103",3,"A121",28,"A141","A152",1,"A172",1,"A191","A201",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.0128755364806867,0,0,0
"A14",30,"A34","A41",7596,"A65","A75",1,"A93","A101",4,"A123",63,"A143","A152",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.404203807637284,2,0,1
"A12",18,"A32","A49",1941,"A64","A73",4,"A93","A101",2,"A122",35,"A143","A152",1,"A172",1,"A192","A201",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0.0930450093540222,1,0,0
"A11",48,"A31","A49",7685,"A61","A74",2,"A92","A103",4,"A123",37,"A143","A151",1,"A173",1,"A191","A201",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.409100913392759,1,1,1
"A14",21,"A32","A42",2241,"A61","A75",4,"A93","A101",2,"A121",50,"A143","A152",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.109552107406185,2,0,0
"A11",42,"A32","A42",7882,"A61","A74",2,"A93","A103",4,"A122",45,"A143","A153",1,"A173",2,"A191","A201",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.419940574447012,1,0,1
"A14",12,"A34","A43",976,"A65","A75",4,"A93","A101",4,"A123",35,"A143","A152",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.0399471772862331,1,0,0
"A12",36,"A32","A41",6948,"A61","A73",2,"A93","A101",2,"A123",35,"A143","A151",1,"A174",1,"A192","A201",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0.368548475844613,1,0,1
"A12",18,"A33","A42",4297,"A61","A75",4,"A91","A101",3,"A124",40,"A143","A152",1,"A174",1,"A192","A201",2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0.222680752723671,1,1,1
"A11",24,"A34","A49",1382,"A62","A74",4,"A93","A101",1,"A121",26,"A143","A152",2,"A173",1,"A192","A201",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.0622867833168262,0,0,0
"A11",12,"A32","A42",1289,"A61","A73",4,"A93","A103",1,"A122",21,"A143","A152",1,"A172",1,"A191","A201",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.0571695829206559,0,0,0
"A11",18,"A32","A42",2473,"A61","A71",4,"A93","A101",1,"A123",25,"A143","A152",1,"A171",1,"A191","A201",2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0.122317596566524,0,1,0
"A11",18,"A33","A46",8471,"A65","A73",1,"A92","A101",2,"A123",23,"A143","A151",2,"A173",1,"A192","A201",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0.452349510289424,0,0,1
"A12",45,"A34","A43",4746,"A61","A72",4,"A93","A101",2,"A122",25,"A143","A152",2,"A172",1,"A191","A201",2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.247386376141741,0,1,1
"A12",9,"A32","A43",1670,"A61","A72",4,"A92","A101",2,"A123",22,"A143","A152",1,"A173",1,"A192","A201",2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.0781335974469022,0,1,0
"A14",12,"A34","A49",2292,"A61","A71",4,"A93","A101",2,"A123",42,"A142","A152",2,"A174",1,"A192","A201",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0.112358314075052,1,1,0
"A12",45,"A34","A41",4576,"A62","A71",3,"A93","A101",4,"A123",27,"A143","A152",1,"A173",1,"A191","A201",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.238032353912182,0,0,1
"A14",18,"A32","A40",6761,"A65","A73",2,"A93","A101",4,"A123",68,"A143","A151",2,"A173",1,"A191","A201",2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.358259051392099,3,1,1
"A14",15,"A32","A41",1300,"A65","A75",4,"A93","A101",4,"A124",45,"A141","A153",1,"A173",2,"A191","A201",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0577748431825685,1,0,0
"A12",6,"A32","A43",753,"A61","A73",2,"A92","A103",3,"A121",64,"A143","A152",1,"A173",1,"A191","A201",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.027676901067459,2,0,0
"A11",18,"A32","A44",1217,"A61","A73",4,"A94","A101",3,"A121",47,"A143","A152",1,"A172",1,"A192","A201",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0.0532078793881369,2,1,0
"A11",12,"A32","A42",708,"A61","A73",2,"A93","A103",3,"A122",38,"A143","A152",1,"A172",2,"A191","A201",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.0252008363596346,1,0,0
"A12",6,"A32","A43",1068,"A61","A75",4,"A93","A101",4,"A123",28,"A143","A152",1,"A173",2,"A191","A201",1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.0450093540222296,0,0,0
"A14",7,"A33","A43",846,"A65","A75",3,"A93","A101",4,"A124",36,"A143","A153",1,"A173",1,"A191","A201",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0.0327941014636294,1,0,0
"A11",24,"A31","A42",2483,"A63","A73",4,"A93","A101",4,"A121",22,"A142","A152",1,"A173",1,"A192","A201",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0.122867833168262,0,0,0
"A14",48,"A34","A46",6110,"A61","A73",1,"A93","A101",3,"A124",31,"A141","A153",1,"A173",1,"A192","A201",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0.322438648618906,1,0,1
"A12",12,"A30","A42",2969,"A61","A72",4,"A92","A101",3,"A122",25,"A143","A151",2,"A173",1,"A191","A201",2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.149609332012765,0,1,0
"A14",12,"A32","A42",1736,"A61","A74",3,"A92","A101",4,"A121",31,"A143","A152",1,"A172",1,"A191","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.0817651590183779,1,0,0
"A14",18,"A34","A40",1055,"A61","A72",4,"A92","A101",1,"A122",30,"A143","A152",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.0442940464399692,1,0,0
"A14",24,"A32","A49",1258,"A61","A74",4,"A93","A101",1,"A121",25,"A143","A152",1,"A173",1,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.0554638494552658,0,0,0
"A14",12,"A34","A40",1163,"A63","A73",4,"A93","A101",4,"A121",44,"A143","A152",1,"A173",1,"A192","A201",1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.0502366017387477,1,0,0
"A14",12,"A32","A46",1393,"A61","A75",4,"A93","A101",4,"A122",47,"A141","A152",3,"A173",2,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0.0628920435787389,2,0,0
"A11",9,"A32","A43",1366,"A61","A72",3,"A92","A101",4,"A122",22,"A143","A151",1,"A173",1,"A191","A201",2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.0614064047540442,0,1,0
"A14",21,"A32","A41",2476,"A65","A75",4,"A93","A101",4,"A121",46,"A143","A152",1,"A174",1,"A192","A201",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0.122482667547045,1,0,0
"A12",36,"A32","A46",2273,"A61","A74",3,"A93","A101",1,"A123",32,"A143","A152",2,"A173",2,"A191","A201",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.111312864531749,1,0,0
"A14",9,"A32","A42",2301,"A62","A72",2,"A92","A101",4,"A122",22,"A143","A151",1,"A173",1,"A191","A201",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0.112853527016617,0,0,0
"A11",6,"A34","A43",338,"A63","A75",4,"A93","A101",4,"A123",52,"A143","A152",2,"A173",1,"A191","A201",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.00484208209530098,2,0,0
"A14",24,"A33","A42",4151,"A62","A73",2,"A93","A101",3,"A122",35,"A143","A152",2,"A173",1,"A191","A201",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0.214647298338285,1,0,1
"A14",21,"A34","A41",3275,"A61","A75",1,"A93","A101",4,"A123",36,"A143","A152",1,"A174",1,"A192","A201",1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0.166446572025971,1,0,0
