duration,credit,rate,residence,age,nocredit,liable,credibility,TNM_check_Status,TNM_history,TIN_purpose_A40,TIN_purpose_A41,TIN_purpose_A410,TIN_purpose_A42,TIN_purpose_A43,TIN_purpose_A44,TIN_purpose_A45,TIN_purpose_A46,TIN_purpose_A48,TIN_purpose_A49,TNM_bonds,TNM_jobex,TIN_s_status_A91,TIN_s_status_A92,TIN_s_status_A93,TIN_s_status_A94,TIN_guarantor_A101,TIN_guarantor_A102,TIN_guarantor_A103,TIN_property_A121,TIN_property_A122,TIN_property_A123,TIN_property_A124,TIN_install_A141,TIN_install_A142,TIN_install_A143,TIN_ph_A191,TIN_ph_A192,TIN_nri_A201,TIN_nri_A202,TNM_job,TIN_house_A151,TIN_house_A152,TIN_house_A153
6,484,3,3,28,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,2,0,1,0
30,7596,1,4,63,2,1,1,4,5,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
18,1941,4,2,35,1,1,1,2,3,0,0,0,0,0,0,0,0,0,1,4,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0
48,7685,2,4,37,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,3,1,0,0
21,2241,4,2,50,2,1,1,4,3,0,0,0,1,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
42,7882,2,4,45,1,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,3,0,0,1
12,976,4,4,35,2,1,1,4,5,0,0,0,0,1,0,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
36,6948,2,2,35,1,1,1,2,3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,1,0,0
18,4297,4,3,40,1,1,2,2,4,0,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,4,0,1,0
24,1382,4,1,26,2,1,1,1,5,0,0,0,0,0,0,0,0,0,1,2,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
12,1289,4,1,21,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
18,2473,4,1,25,1,1,2,1,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
18,8471,1,2,23,2,1,1,1,4,0,0,0,0,0,0,0,1,0,0,5,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,1,0,0
45,4746,4,2,25,2,1,2,2,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
9,1670,4,2,22,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
12,2292,4,2,42,2,1,2,4,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,4,0,1,0
45,4576,3,4,27,1,1,1,2,5,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
18,6761,2,4,68,2,1,2,4,3,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,1,0,0
15,1300,4,4,45,1,2,1,4,3,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,1
6,753,2,3,64,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
18,1217,4,3,47,1,1,2,1,3,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,1,0
12,708,2,3,38,1,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
6,1068,4,4,28,1,2,1,2,3,0,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
7,846,3,4,36,1,1,1,4,4,0,0,0,0,1,0,0,0,0,0,5,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,1
24,2483,4,4,22,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,3,0,1,0
48,6110,1,3,31,1,1,1,4,5,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,0,1
12,2969,4,3,25,2,1,2,2,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
12,1736,3,4,31,1,1,1,4,3,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
18,1055,4,1,30,2,1,1,4,5,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,1,0
24,1258,4,1,25,1,1,1,4,3,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
12,1163,4,4,44,1,1,1,4,5,1,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
12,1393,4,4,47,3,2,1,4,3,0,0,0,0,0,0,0,1,0,0,1,5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,3,0,1,0
9,1366,3,4,22,1,1,2,1,3,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
21,2476,4,4,46,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,5,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,4,0,1,0
36,2273,3,1,32,2,2,1,2,3,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
9,2301,2,4,22,1,1,1,4,3,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
6,338,4,4,52,2,1,1,1,5,0,0,0,0,1,0,0,0,0,0,3,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
24,4151,2,3,35,2,1,1,4,4,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,1,0
21,3275,1,4,36,1,1,1,4,5,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0
30,4583,2,2,32,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
24,2978,4,4,32,2,2,1,4,4,0,0,0,0,0,0,0,0,0,1,5,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
9,458,4,3,24,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
48,8487,1,2,24,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
9,936,4,2,52,2,1,1,4,5,0,0,0,0,0,0,0,1,0,0,3,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
48,5096,2,3,30,1,1,2,2,5,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0
21,1647,4,2,40,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
24,6314,4,2,27,2,1,1,4,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,4,0,1,0
24,2397,3,2,35,2,1,2,4,3,0,0,0,0,1,0,0,0,0,0,3,5,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,1,0
13,882,4,4,23,2,1,1,2,5,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
18,1245,4,2,33,1,1,2,2,5,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
48,5951,2,2,22,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
21,2319,2,1,33,1,1,2,3,5,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,1,0,0
48,3566,4,2,30,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,2,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
18,1533,4,1,43,1,2,2,4,3,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
21,1572,4,4,36,1,1,1,4,3,0,0,0,0,0,0,0,0,0,1,4,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,1,0
18,629,4,3,32,2,1,1,4,5,0,0,0,0,1,0,0,0,0,0,3,5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,4,0,1,0
6,609,4,3,37,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,3,0,1,0
30,1908,4,4,66,1,1,2,3,4,0,0,0,0,0,0,0,0,0,1,1,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,4,0,1,0
18,1568,3,4,24,1,1,1,4,3,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,1,0,0
54,9436,2,2,39,1,2,1,4,1,0,1,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
6,4611,1,4,32,1,1,2,4,3,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,1,0
36,2671,4,4,50,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,1
6,1169,4,4,67,2,1,1,1,5,0,0,0,0,1,0,0,0,0,0,5,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,3,0,1,0
18,3244,1,4,33,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,1,0
36,10974,4,2,26,2,1,2,4,3,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0
24,2957,4,4,63,2,1,1,1,5,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,3,0,1,0
6,1047,2,4,50,1,1,1,3,5,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
36,3804,4,1,42,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
24,2924,3,4,63,1,2,1,1,3,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,3,0,1,0
36,5742,2,2,31,2,1,1,4,3,0,0,0,0,0,0,0,0,0,1,2,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
21,5003,1,4,29,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,3,0,1,0
36,12389,1,4,37,1,1,2,2,3,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,1
9,1501,2,3,34,2,1,2,2,5,0,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0
45,3031,4,4,21,1,1,2,2,3,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
6,1743,1,2,34,2,1,1,4,4,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
18,3422,4,4,47,3,2,1,4,3,0,0,0,1,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,3,0,1,0
18,2169,4,2,28,1,1,2,4,4,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
12,900,4,2,23,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
24,2346,4,3,35,2,1,1,4,5,0,1,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
24,5152,4,2,25,1,1,1,3,3,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,1,0
12,2096,2,3,49,1,2,1,4,5,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
24,2032,4,4,60,2,1,1,4,4,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,1
24,3349,4,4,30,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,1
48,3609,1,1,27,1,1,1,4,2,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,3,0,1,0
18,1887,4,4,28,2,1,1,2,5,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,3,0,1,0
48,12749,4,1,37,1,1,1,4,4,0,0,0,0,1,0,0,0,0,0,3,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0
18,3114,1,4,26,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
18,1817,4,2,28,2,1,1,4,5,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,1,0
4,1494,1,2,29,1,2,1,3,3,1,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,1,0
18,3049,1,1,45,1,1,1,3,3,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0
24,6403,1,2,33,1,1,1,2,4,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
12,685,2,3,25,1,1,2,2,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,2,0,1,0
18,1239,4,4,61,1,1,1,2,3,0,0,0,0,0,0,0,1,0,0,5,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,1
24,1216,4,4,38,2,2,2,2,5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,1,0
36,7127,2,4,23,2,1,2,4,5,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,3,1,0,0
24,3660,2,4,28,1,1,1,1,3,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
15,1459,4,2,43,1,1,1,4,5,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,2,0,1,0
6,454,3,1,22,1,1,1,2,3,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
36,5179,4,2,29,1,1,2,1,3,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,1,0
12,902,4,4,21,1,1,2,1,3,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,0,0
18,1553,4,3,44,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,3,0,1,0
22,2675,3,4,40,1,1,1,4,3,0,0,0,0,1,0,0,0,0,0,3,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
18,1113,4,4,26,1,2,1,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
12,626,4,4,24,1,1,2,1,2,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,1,0
36,9629,4,4,24,2,1,2,1,5,0,1,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
24,11560,1,4,23,2,1,2,2,3,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,4,1,0,0
30,2831,4,2,33,1,1,1,4,5,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
9,2118,2,2,37,1,2,1,2,3,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,1,0
36,2337,4,4,36,1,1,1,2,5,0,0,0,0,1,0,0,0,0,0,1,5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,1,0
18,6361,2,1,41,1,1,1,2,5,0,0,0,1,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,3,0,1,0
6,1374,4,3,75,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,4,0,1,0
12,639,4,2,30,1,1,2,2,3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0
36,1819,4,4,37,1,1,2,4,3,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,1
12,1223,1,1,46,2,1,2,2,3,1,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,1,0,0
48,15672,2,2,23,1,1,2,2,3,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
9,1437,2,3,29,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,1,0
12,3565,2,1,37,2,2,1,4,5,0,0,0,0,0,0,0,1,0,0,5,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0
24,2359,1,1,33,1,1,2,1,3,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,1,0
36,9271,2,1,24,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,0,1,0
